name ,date,ISIN ,issue date,coupon ,maturity date ,closing price ,yield to maturity 
CAN 9.75 Jun 21,2021-01-22,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.34,0.0029
CAN 9.75 Jun 21,2021-01-25,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.31,0.0029
CAN 9.75 Jun 21,2021-01-26,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.28,0.0029
CAN 9.75 Jun 21,2021-01-27,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.26,0.0029
CAN 9.75 Jun 21,2021-01-28,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.18,0.0029
CAN 9.75 Jun 21,2021-01-29,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.15,0.0029
CAN 9.25 Jun 22,2021-01-18,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.42,0.0018
CAN 9.25 Jun 22,2021-01-19,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.4,0.0018
CAN 9.25 Jun 22,2021-01-20,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.35,0.0018
CAN 9.25 Jun 22,2021-01-21,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.27,0.0018
CAN 9.25 Jun 22,2021-01-22,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.24,0.0018
CAN 9.25 Jun 22,2021-01-25,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.2,0.0018
CAN 9.25 Jun 22,2021-01-26,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.19,0.0018
CAN 9.25 Jun 22,2021-01-27,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.18,0.0018
CAN 9.25 Jun 22,2021-01-28,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.1,0.0018
CAN 9.25 Jun 22,2021-01-29,CA135087UM44,1991-12-15,0.0925,2022-06-01,112.08,0.0018
CAN 8 Jun 23,2021-01-18,CA135087UT96,1992-08-17,0.08,2023-06-01,118.41,0.0021
CAN 8 Jun 23,2021-01-19,CA135087UT96,1992-08-17,0.08,2023-06-01,118.4,0.0021
CAN 8 Jun 23,2021-01-20,CA135087UT96,1992-08-17,0.08,2023-06-01,118.34,0.0021
CAN 8 Jun 23,2021-01-21,CA135087UT96,1992-08-17,0.08,2023-06-01,118.27,0.0021
CAN 8 Jun 23,2021-01-22,CA135087UT96,1992-08-17,0.08,2023-06-01,118.26,0.0021
CAN 8 Jun 23,2021-01-25,CA135087UT96,1992-08-17,0.08,2023-06-01,118.2,0.0021
CAN 8 Jun 23,2021-01-26,CA135087UT96,1992-08-17,0.08,2023-06-01,118.19,0.0021
CAN 8 Jun 23,2021-01-27,CA135087UT96,1992-08-17,0.08,2023-06-01,118.21,0.0021
CAN 8 Jun 23,2021-01-28,CA135087UT96,1992-08-17,0.08,2023-06-01,118.14,0.0021
CAN 8 Jun 23,2021-01-29,CA135087UT96,1992-08-17,0.08,2023-06-01,118.12,0.0021
CAN 3.25 Jun 21 ,2021-01-18,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.16,0.0013
CAN 3.25 Jun 21 ,2021-01-19,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.15,0.0013
CAN 3.25 Jun 21 ,2021-01-20,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.13,0.0013
CAN 3.25 Jun 21 ,2021-01-21,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.1,0.0013
CAN 3.25 Jun 21 ,2021-01-22,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.1,0.0013
CAN 3.25 Jun 21 ,2021-01-25,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.08,0.0013
CAN 3.25 Jun 21 ,2021-01-26,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.08,0.0013
CAN 3.25 Jun 21 ,2021-01-27,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.07,0.0013
CAN 3.25 Jun 21 ,2021-01-28,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.05,0.0013
CAN 3.25 Jun 21 ,2021-01-29,CA135087ZJ69,2021-07-19,0.0325,2021-06-01,101.04,0.0013
CAN 2.75 Jun 22,2021-01-18,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.61,0.0013
CAN 2.75 Jun 22,2021-01-19,CA135087ZU15,2011-08-02,0.0275,2022-06-01,103.6,0.0013
